K,seed,bic_rep,aic_rep,log_lik_rep,bic_w,aic_w,log_lik_w,n_eff,flow_within,flow_between,min_sys_frac,silhouette,n_edges,n_params,converged
4,3,308346.75589105854,307855.30344051635,-153868.65172025817,3198.8981322740724,2862.3620927954225,-1372.1810463977113,2217.200557812128,53.9812177009245,46.0187822990755,11.129431962336984,,10551,59,True
4,4,305769.4962324376,305278.0437818954,-152580.0218909477,3176.264471923049,2839.728432444399,-1360.8642162221995,2217.200557812128,61.446044072432905,38.553955927567095,10.017473327368903,,10551,59,True
4,5,308290.7065378984,307799.2540873562,-153840.6270436781,3198.41350411537,2861.87746463672,-1371.93873231836,2217.200557812128,54.060158537371485,45.939841462628515,11.129431962336982,,10551,59,True
4,6,308344.5905959118,307853.1381453696,-153867.5690726848,3198.8847062783725,2862.3486667997227,-1372.1743333998613,2217.200557812128,54.094519081755564,45.905480918244436,11.129431962336984,,10551,59,True
4,7,308347.6479694076,307856.1955188654,-153869.0977594327,3198.906860924739,2862.370821446089,-1372.1854107230445,2217.200557812128,53.98121770092451,46.01878229907549,11.129431962336984,,10551,59,True
4,8,305747.50685814343,305256.05440760124,-152569.02720380062,3176.0052342128142,2839.4691947341644,-1360.7345973670822,2217.200557812128,61.961692787639876,38.038307212360124,10.017473327368904,,10551,59,True
4,9,306626.82627934363,306135.37382880144,-153008.68691440072,3183.101667849593,2846.565628370943,-1364.2828141854716,2217.200557812128,59.76423024381966,40.23576975618034,11.825619916605982,,10551,59,True
4,10,308346.978293028,307855.52584248583,-153868.76292124292,3198.9003788367495,2862.3643393580996,-1372.1821696790498,2217.200557812128,53.981217700924525,46.018782299075475,11.129431962336982,,10551,59,True
4,11,308327.41243845347,307835.9599879113,-153858.97999395564,3198.7278076718308,2862.191768193181,-1372.0958840965905,2217.200557812128,54.094519081755564,45.905480918244436,11.129431962336982,,10551,59,True
4,12,308349.3435310075,307857.8910804653,-153869.94554023264,3198.9203105654256,2862.3842710867757,-1372.1921355433878,2217.200557812128,53.981217700924525,46.018782299075475,11.129431962336984,,10551,59,True
4,13,308241.25991324417,307749.807462702,-153815.903731351,3197.631372763675,2861.095333285025,-1371.5476666425125,2217.200557812128,55.801669490412344,44.198330509587656,10.413386629485604,,10551,59,True
4,14,306625.8531746093,306134.4007240671,-153008.20036203356,3183.0906090112735,2846.5545695326236,-1364.2772847663118,2217.200557812128,59.76423024381966,40.23576975618034,11.825619916605982,,10551,59,True
4,15,306656.08929564053,306164.63684509834,-153023.31842254917,3183.530187648863,2846.994148170213,-1364.4970740851065,2217.200557812128,59.34807336067385,40.65192663932615,11.825619916605984,,10551,59,True
4,16,308342.7384892689,307851.2860387267,-153866.64301936334,3198.8698417514856,2862.333802272836,-1372.166901136418,2217.200557812128,54.094519081755564,45.905480918244436,11.129431962336982,,10551,59,True
4,17,306632.46735889063,306141.01490834844,-153011.50745417422,3183.292453054104,2846.756413575454,-1364.378206787727,2217.200557812128,59.346881247630456,40.653118752369544,11.825619916605982,,10551,59,True
